season,episode,speaker,role,utterance_count
3,24,GIANNA,assistant,6
3,24,GINA,,1
3,24,GINA D,,1
3,24,JILL,mom,10
3,24,KELLY,mom,1
3,24,YVETTE,,4
3,24,ZACK,,2
3,25,ABBY,instructor,9
3,25,ALL,,1
3,25,ALLI,,4
3,25,ANNOUNCER,announcer,11
3,25,ANTHONY,choreographer,32
3,25,CAMPBELL,,1
3,25,CATHY,coach,45
3,25,CHILD,,1
3,25,CHRISTI,mom,1
3,25,DONNA,,6
3,25,GINA,,3
3,25,GINA D,,13
3,25,HADLEY,,2
3,25,JALEN,,2
3,25,JEFF,staff,2
3,25,KAYA WILEY,,1
3,25,KEVIN,,1
3,25,MALIK SO CHIC,,1
3,25,MARI,,1
3,25,NARRATOR,,5
3,25,RICK,,17
3,25,WOMAN,other,13
3,25,YVETTE,,11
3,26,ABBY,instructor,1
3,26,ANNOUNCER,announcer,2
3,26,CHRISTI,mom,12
3,26,HOLLY,mom,2
3,26,JEFF,staff,17
3,26,JILL,mom,1
3,26,KAYA,,5
3,26,KELLY,mom,8
3,26,LISA,,12
3,26,NADINE RAJABI,,3
3,26,NARRATOR,,6
3,27,ABBY,instructor,36
3,27,ALEC,,30
3,27,ANNOUNCER,announcer,5
3,27,CATHY,coach,2
3,27,CHRISTI,mom,7
3,27,DAWN,,2
3,27,GIRLS,,1
3,27,JEFF,staff,38
3,27,JILL,mom,1
3,27,JOHN,,1
3,27,KELLY,mom,2
3,27,MAN,,3
3,27,MELISSA,mom,8
3,27,NADINE,,15
3,28,ABBY,instructor,30
3,28,CHLOE,dancer,1
3,28,CHRISTI,mom,16
3,28,EMCEE,,11
3,28,GIRLS,,1
3,28,HOLLY,mom,5
3,28,JILL,mom,12
3,28,KELLY,mom,8
3,28,MADDIE,dancer,1
3,28,MELISSA,mom,9
3,29,ABBY,instructor,12
3,29,ANNOUNCER,announcer,5
3,29,BROOKE HYLAND,,2
3,29,CATHY NESBITT-STEIN,,2
3,29,CHLOE LUKASIAK,,1
3,29,CHRISTI LUKASIAK,,7
3,29,DIRECTOR,,2
3,29,HOLLY FRAZIER,,3
3,29,JILL VERTES,,6
3,29,KELLY HYLAND,,4
3,29,MELISSA ZIEGLER-GISONI,,5
3,29,MICKEY CONSCULLUELA,,2
3,29,RICK TESTERMAN,,1
3,29,SHOP ASSISTANT,,1
3,29,THEME SONG,,1
3,29,WOMAN,other,1
3,30,ABBY,instructor,48
3,30,ANNOUNCER,announcer,4
3,30,CHRISTI,mom,18
3,30,GIANNA,assistant,1
3,30,GIRLS,,1
3,30,HOLLY,mom,2
3,30,JILL,mom,5
3,30,KELLY,mom,11
3,30,KRISTIE,mom,1
3,30,LYRICS,,7
3,30,MACKENZIE,dancer,1
3,30,MELISSA,mom,1
3,30,MOM,,1
3,30,PHOTOGRAPHER,,4
3,30,SANDRA,,1
3,31,ABBY,instructor,21
3,31,ALL,,1
3,31,ANNOUNCER,announcer,7
3,31,ANTHONY,choreographer,14
3,31,CATHY,coach,18
3,31,CATHY'S MOM,,2
3,31,CHRISTI,mom,13
3,31,CROWD,,1
3,31,HOLLY,mom,4
3,31,JILL,mom,7
3,31,KELLY,mom,1
3,31,KID,,1
3,31,KRISTIE,mom,4
3,31,LESLEY,mom,10
3,31,MELISSA,mom,6
3,31,MICHELLE,,1
3,31,SANDRA,,1
3,31,YVETTE,,2
3,32,ABBY,instructor,12
3,32,ANNOUNCER,announcer,6
3,32,BOTH,,1
3,32,BROOKE HYLAND,,1
3,32,CHRISTI LUKASIAK,,6
3,32,HOLLY FRAZIER,,2
3,32,JILL VERTES,,6
3,32,KELLY HYLAND,,4
3,32,KRISTIE RAY,,3
3,32,LESLIE ACKERMAN,,5
3,32,MARYEN MILLER,,1
3,32,MELISSA ZIEGLER-GISONI,,1
3,32,TAXIDERMIST,,3
3,32,THEME SONG,,1
3,32,WOMAN,other,3
3,33,ABBY,instructor,5
3,33,ANNOUNCER,announcer,4
3,33,AUDIENCE,,1
3,33,BROOKE,dancer,1
3,33,CHRISTI,mom,5
3,33,GIANNA,assistant,14
3,33,GIRL,,1
3,33,GIRLS,,5
3,33,HANNAH,,1
3,33,HOLLY,mom,6
3,33,JILL,mom,3
3,33,KELLY,mom,14
3,33,KRISTIE,mom,1
3,33,LESLEY,mom,10
3,33,LORI,,3
3,33,MAN,,1
3,33,MANDY,,1
3,33,MELISSA,mom,7
3,33,WOMAN,other,7
3,33,WOMEN,,2
3,34,ABBY,instructor,8
3,34,ALL,,1
3,34,ANNOUNCER,announcer,8
3,34,CARLIE DE BOER,,2
3,34,CATHY,coach,16
3,34,CHRISTI,mom,6
3,34,GIANNA,assistant,5
3,34,HOLLY,mom,7
3,34,JOY CHARITY ENRIQUEZ,,2
3,34,KELLY,mom,4
3,34,KIDS,,1
3,34,KRISTE,,1
3,34,MELISSA,mom,4
3,34,NIKKO LOWE,,1
3,34,REBEKAH WHITE,,2
3,34,WOMAN,other,2
3,34,YVETTE,,3
3,34,ZACK,,2
3,35,ABBY,instructor,10
3,35,ANNOUNCER,announcer,12
3,35,CHRISTI,mom,1
3,35,FEMALE HOST,,1
3,35,JILL,mom,3
3,35,KELLY,mom,1
3,35,MALE HOST,,1
3,35,PAIGE,dancer,1
3,35,THEME SONG,,1
3,36,ABBY,instructor,39
3,36,ANNOUNCER,announcer,10
3,36,CATHY,coach,1
3,36,CHRISTI,mom,17
3,36,CHRISTIE,,1
3,36,GIANNA,assistant,2
3,36,GIRLS,,1
3,36,HOLLY,mom,8
3,36,JILL,mom,20
3,36,KELLY,mom,8
3,36,KRISTI,,4
3,36,KRISTIE,mom,5
3,36,MACKENZIE,dancer,1
3,36,MADDIE,dancer,2
3,36,MELISSA,mom,12
3,36,PAIGE,dancer,1
3,36,RACHEL,,5
3,37,ABBY,instructor,26
3,37,ANNOUNCER 1,,6
3,37,ANNOUNCER 2,,2
3,37,BLAKE,,3
3,37,CATHY,coach,14
3,37,CHRISTI,mom,20
3,37,HOLLY,mom,5
3,37,JILL,mom,14
3,37,KELLY,mom,9
3,37,KRISTIE,mom,9
3,37,LESLEY,mom,9
3,37,MAN,,1
3,37,MELISSA,mom,14
3,37,WOMAN,other,2
3,38,ABBY,instructor,12
3,38,CHRISTI,mom,44
3,38,HOLLY,mom,8
3,38,JEFF,staff,36
3,38,JEFF COLLINS,,2
3,38,JILL,mom,15
3,38,KELLY,mom,23
3,38,KRISTIE,mom,17
3,38,LESLEY,mom,19
3,38,MELISSA,mom,10
3,38,THEME SONG,,2
3,39,ABBY,instructor,22
3,39,ALL,,2
3,39,AUDIENCE,,11
3,39,CATHY NESBITT-STEIN,,5
3,39,CHRISTI LUKASIAK,,12
3,39,DANCE MOM,,1
3,39,DANCER,,1
3,39,EVAN FRASIER,,1
3,39,HOLLY FRASIER,,5
3,39,JEFF COLLINS,,30
3,39,JILL VERTES,,2
3,39,KELLY HYLAND,,3
3,39,MELISSA GISONI,,1
3,39,WOMEN,,1
